# time [s]; Channel 0; Channel 1; Channel 2
8.023334000000000188e+00;4.725261330604553223e-01;3.423666656017303467e-01;2.334477752447128296e-01
8.026666999999999774e+00;4.637369215488433838e-01;3.079270720481872559e-01;2.246585786342620850e-01
8.030001000000000388e+00;4.600747823715209961e-01;3.277180194854736328e-01;2.275883108377456665e-01
8.033336000000000254e+00;4.549477398395538330e-01;3.345540463924407959e-01;2.288090288639068604e-01
8.036668000000000589e+00;4.481116831302642822e-01;4.615396261215209961e-01;2.637369334697723389e-01
8.040001999999999427e+00;4.507972896099090576e-01;6.717936992645263672e-01;3.321126103401184082e-01
8.043335000000000790e+00;4.583657681941986084e-01;7.467612624168395996e-01;3.836423158645629883e-01
8.046668000000000376e+00;4.620279371738433838e-01;7.536125779151916504e-01;4.148927927017211914e-01
8.050001999999999214e+00;4.722819924354553223e-01;6.554360389709472656e-01;4.126954972743988037e-01
8.053335000000000576e+00;4.805828928947448730e-01;4.930342435836791992e-01;3.775387108325958252e-01
8.056668000000000163e+00;4.739910066127777100e-01;3.365072011947631836e-01;3.242999911308288574e-01
8.060000000000000497e+00;4.617837667465209961e-01;2.940108478069305420e-01;2.876630723476409912e-01
8.063335000000000363e+00;4.520179927349090576e-01;3.369955122470855713e-01;2.766765952110290527e-01
8.066667999999999950e+00;4.539711475372314453e-01;3.909666538238525391e-01;2.769207358360290527e-01
8.070000999999999536e+00;4.554360210895538330e-01;5.250324010848999023e-01;3.089036345481872559e-01
8.073335000000000150e+00;4.510414302349090576e-01;7.755855917930603027e-01;3.887693583965301514e-01
8.076667000000000485e+00;4.556801617145538330e-01;8.910963535308837891e-01;4.522621631622314453e-01
8.080000999999999323e+00;4.639810919761657715e-01;6.715495586395263672e-01;4.317387640476226807e-01
8.083334000000000685e+00;4.578774571418762207e-01;3.306477367877960205e-01;3.450522720813751221e-01
8.086667000000000272e+00;4.512855708599090576e-01;1.560387611389160156e-01;2.683756649494171143e-01
8.090001000000000886e+00;4.529945850372314453e-01;1.294270306825637817e-01;2.185549736022949219e-01
8.093334999999999724e+00;4.449378252029418945e-01;1.194018498063087463e-01;1.831387877464294434e-01
8.096669000000000338e+00;4.420080780982971191e-01;1.648279577493667603e-01;1.689784079790115356e-01
8.100001000000000673e+00;4.461585283279418945e-01;3.054856061935424805e-01;1.948729753494262695e-01
8.103334999999999511e+00;4.434729516506195068e-01;4.625162184238433838e-01;2.422369718551635742e-01
8.106668000000000873e+00;4.410315155982971191e-01;5.562828779220581055e-01;2.835126221179962158e-01
8.110001000000000460e+00;4.410315155982971191e-01;4.459143877029418945e-01;2.766765952110290527e-01
8.113334000000000046e+00;4.498206973075866699e-01;3.286945819854736328e-01;2.500648498535156250e-01
8.116668000000000660e+00;4.634927809238433838e-01;3.123216629028320312e-01;2.419928312301635742e-01
8.120001000000000246e+00;4.837567806243896484e-01;3.496910035610198975e-01;2.444342672824859619e-01
8.123335000000000861e+00;4.986495673656463623e-01;4.139162302017211914e-01;2.605630457401275635e-01
8.126666999999999419e+00;4.830243289470672607e-01;5.545738935470581055e-01;3.023117482662200928e-01
8.130001000000000033e+00;4.573891758918762207e-01;6.444495320320129395e-01;3.435873985290527344e-01
8.133335000000000647e+00;4.351567924022674561e-01;5.628900527954101562e-01;3.399252295494079590e-01
8.136668000000000234e+00;4.346685111522674561e-01;4.561684727668762207e-01;3.228351175785064697e-01
8.140002000000000848e+00;4.476234018802642822e-01;3.951171040534973145e-01;3.030441701412200928e-01
8.143333999999999406e+00;4.586099088191986084e-01;3.902342319488525391e-01;2.944991290569305420e-01
8.146667000000000769e+00;4.588540494441986084e-01;4.815594851970672607e-01;3.111009299755096436e-01
8.150002000000000635e+00;4.686198234558105469e-01;5.560387372970581055e-01;3.333333432674407959e-01
8.153333999999999193e+00;4.849774837493896484e-01;5.465171337127685547e-01;3.406576514244079590e-01
8.156667999999999807e+00;4.820477664470672607e-01;5.482261180877685547e-01;3.455405533313751221e-01
8.160000999999999394e+00;4.722819924354553223e-01;6.061035990715026855e-01;3.650721013545989990e-01
8.163337000000000288e+00;4.569008946418762207e-01;6.290684342384338379e-01;3.792477250099182129e-01
8.166667999999999594e+00;4.478675425052642822e-01;5.897459387779235840e-01;3.799801766872406006e-01
8.170000999999999181e+00;4.481116831302642822e-01;4.471351206302642822e-01;3.460288345813751221e-01
8.173334000000000543e+00;4.561684727668762207e-01;2.625162005424499512e-01;2.849774956703186035e-01
8.176667999999999381e+00;4.683756828308105469e-01;1.892576515674591064e-01;2.368658035993576050e-01
8.180001000000000744e+00;4.778973162174224854e-01;2.224612832069396973e-01;2.187991142272949219e-01
8.183334000000000330e+00;4.822919070720672607e-01;2.713054120540618896e-01;2.156252413988113403e-01
8.186666999999999916e+00;4.830243289470672607e-01;3.609216511249542236e-01;2.310063391923904419e-01
8.190001000000000531e+00;4.849774837493896484e-01;3.672693967819213867e-01;2.358892261981964111e-01
8.193334000000000117e+00;4.810711741447448730e-01;3.199054002761840820e-01;2.271000295877456665e-01
8.196668000000000731e+00;4.796063303947448730e-01;3.506675958633422852e-01;2.332036346197128296e-01
8.200001000000000317e+00;4.857099354267120361e-01;3.855954706668853760e-01;2.446784228086471558e-01
8.203333999999999904e+00;4.788738787174224854e-01;3.699549734592437744e-01;2.458991408348083496e-01
8.206666999999999490e+00;4.727702736854553223e-01;3.411459624767303467e-01;2.397955358028411865e-01
8.210003000000000384e+00;4.695963859558105469e-01;3.721522986888885498e-01;2.458991408348083496e-01
8.213335000000000719e+00;4.713054001331329346e-01;4.422522187232971191e-01;2.659342288970947266e-01
8.216668000000000305e+00;4.737468659877777100e-01;5.006179809570312500e-01;2.859540581703186035e-01
8.220000999999999891e+00;4.788738787174224854e-01;4.966964125633239746e-01;2.996261417865753174e-01
8.223333999999999477e+00;4.852216243743896484e-01;4.612954854965209961e-01;2.988937199115753174e-01
8.226668000000000092e+00;4.852216243743896484e-01;4.410315155982971191e-01;2.966964244842529297e-01
8.230000999999999678e+00;4.847333431243896484e-01;4.356450736522674561e-01;2.969405651092529297e-01
8.233333999999999264e+00;4.962081313133239746e-01;4.442053735256195068e-01;2.991378605365753174e-01
8.236667999999999878e+00;5.006179809570312500e-01;4.974288642406463623e-01;3.152666389942169189e-01
8.240000999999999465e+00;4.837567806243896484e-01;5.367513298988342285e-01;3.279621601104736328e-01
8.243335000000000079e+00;4.659342467784881592e-01;5.526207089424133301e-01;3.394369482994079590e-01
8.246667999999999665e+00;4.527504444122314453e-01;5.213702321052551270e-01;3.365072011947631836e-01
8.250002000000000280e+00;4.539711475372314453e-01;4.664225280284881592e-01;3.274738788604736328e-01
8.253334000000000614e+00;4.578774571418762207e-01;4.158693850040435791e-01;3.108567893505096436e-01
8.256667999999999452e+00;4.605630636215209961e-01;3.978027105331420898e-01;2.998703122138977051e-01
8.260001000000000815e+00;4.673990905284881592e-01;4.178225398063659668e-01;2.988937199115753174e-01
8.263334999999999653e+00;4.720378518104553223e-01;4.449378252029418945e-01;3.030441701412200928e-01
8.266667999999999239e+00;4.769207239151000977e-01;4.583657681941986084e-01;3.062180578708648682e-01
8.270001000000000602e+00;4.781414568424224854e-01;4.493324160575866699e-01;3.045090436935424805e-01
8.273334000000000188e+00;4.776531755924224854e-01;4.212405681610107422e-01;2.976729869842529297e-01
8.276668000000000802e+00;4.742351472377777100e-01;4.039063155651092529e-01;2.913252413272857666e-01
8.280001000000000388e+00;4.742351472377777100e-01;4.095216393470764160e-01;2.881513833999633789e-01
8.283333999999999975e+00;4.788738787174224854e-01;4.446936845779418945e-01;2.954756915569305420e-01
8.286668000000000589e+00;4.949873983860015869e-01;4.578774571418762207e-01;3.006027340888977051e-01
8.290001000000000175e+00;4.769207239151000977e-01;4.393225014209747314e-01;2.966964244842529297e-01
8.293333999999999762e+00;4.586099088191986084e-01;4.117189347743988037e-01;2.891279458999633789e-01
8.296666999999999348e+00;4.505531489849090576e-01;3.995117247104644775e-01;2.830243408679962158e-01
8.300000999999999962e+00;4.549477398395538330e-01;4.092774987220764160e-01;2.822919189929962158e-01
8.303335000000000576e+00;4.652017951011657715e-01;4.271000325679779053e-01;2.859540581703186035e-01
8.306668000000000163e+00;4.783855974674224854e-01;4.283207356929779053e-01;2.883955240249633789e-01
8.310000999999999749e+00;4.825360476970672607e-01;4.322270452976226807e-01;2.918135225772857666e-01
8.313333999999999335e+00;4.769207239151000977e-01;4.464026987552642822e-01;2.947432696819305420e-01
8.316667999999999950e+00;4.691081047058105469e-01;4.522621631622314453e-01;2.993820011615753174e-01
8.320000999999999536e+00;4.573891758918762207e-01;4.520179927349090576e-01;3.023117482662200928e-01
8.323333999999999122e+00;4.600747823715209961e-01;4.503090083599090576e-01;3.032883107662200928e-01
8.326667999999999736e+00;4.578774571418762207e-01;4.522621631622314453e-01;3.052414655685424805e-01
8.330000000000000071e+00;4.468909800052642822e-01;4.515297114849090576e-01;3.052414655685424805e-01
8.333334000000000685e+00;4.510414302349090576e-01;4.483558535575866699e-01;3.049973249435424805e-01
8.336667999999999523e+00;4.566567540168762207e-01;4.500648379325866699e-01;3.049973249435424805e-01
8.340002000000000137e+00;4.676432311534881592e-01;4.529945850372314453e-01;3.076829314231872559e-01
8.343334000000000472e+00;4.647135138511657715e-01;4.532387256622314453e-01;3.064621984958648682e-01
8.346667999999999310e+00;4.481116831302642822e-01;4.527504444122314453e-01;3.081712126731872559e-01
8.350001000000000673e+00;4.405432343482971191e-01;4.573891758918762207e-01;3.086594939231872559e-01
8.353334999999999511e+00;4.393225014209747314e-01;4.625162184238433838e-01;3.111009299755096436e-01
8.356666999999999845e+00;4.427405297756195068e-01;4.566567540168762207e-01;3.106126487255096436e-01
8.360001999999999711e+00;4.573891758918762207e-01;4.505531489849090576e-01;3.096360862255096436e-01
8.363334999999999297e+00;4.673990905284881592e-01;4.510414302349090576e-01;3.089036345481872559e-01
8.366666999999999632e+00;4.634927809238433838e-01;4.598306119441986084e-01;3.113450706005096436e-01
8.370001000000000246e+00;4.537270069122314453e-01;4.586099088191986084e-01;3.113450706005096436e-01
8.373335000000000861e+00;4.424963891506195068e-01;4.556801617145538330e-01;3.108567893505096436e-01
8.376668000000000447e+00;4.288090467453002930e-01;4.525063037872314453e-01;3.103685081005096436e-01
8.380000000000000782e+00;4.341802000999450684e-01;4.656900763511657715e-01;3.145342171192169189e-01
8.383333999999999619e+00;4.471351206302642822e-01;4.688639640808105469e-01;3.135576546192169189e-01
8.386666999999999206e+00;4.639810919761657715e-01;4.590981900691986084e-01;3.133134841918945312e-01
8.390000999999999820e+00;4.825360476970672607e-01;4.373540878295898438e-01;3.098802268505096436e-01
8.393335000000000434e+00;4.735026955604553223e-01;4.214847087860107422e-01;3.030441701412200928e-01
8.396668000000000021e+00;4.468909800052642822e-01;4.278324544429779053e-01;3.001144528388977051e-01
8.400000999999999607e+00;4.327153563499450684e-01;4.547035992145538330e-01;3.049973249435424805e-01
8.403333999999999193e+00;4.398107826709747314e-01;4.749675691127777100e-01;3.115892410278320312e-01
8.406667999999999807e+00;4.512855708599090576e-01;4.713054001331329346e-01;3.128252029418945312e-01
8.410000999999999394e+00;4.422522187232971191e-01;4.632486402988433838e-01;3.123216629028320312e-01
8.413334000000000756e+00;4.358892142772674561e-01;4.478675425052642822e-01;3.098802268505096436e-01
8.416667999999999594e+00;4.402990639209747314e-01;4.459143877029418945e-01;3.067063391208648682e-01
8.420000999999999181e+00;4.405432343482971191e-01;4.400549232959747314e-01;3.037766218185424805e-01
8.423334000000000543e+00;4.556801617145538330e-01;4.371099472045898438e-01;3.045090436935424805e-01
8.426667999999999381e+00;4.783855974674224854e-01;4.327153563499450684e-01;3.032883107662200928e-01
8.430001000000000744e+00;4.691081047058105469e-01;4.322270452976226807e-01;3.015792965888977051e-01
8.433334000000000330e+00;4.542153179645538330e-01;4.324711859226226807e-01;3.001144528388977051e-01
8.436667999999999168e+00;4.410315155982971191e-01;4.427405297756195068e-01;3.001144528388977051e-01
8.440001999999999782e+00;4.354009330272674561e-01;4.529945850372314453e-01;3.049973249435424805e-01
8.443334000000000117e+00;4.529945850372314453e-01;4.549477398395538330e-01;3.057297766208648682e-01
8.446666999999999703e+00;4.652017951011657715e-01;4.505531489849090576e-01;3.057297766208648682e-01
8.450001000000000317e+00;4.442053735256195068e-01;4.505531489849090576e-01;3.054856061935424805e-01
8.453334999999999155e+00;4.288090467453002930e-01;4.495765566825866699e-01;3.040207624435424805e-01
8.456668000000000518e+00;4.358892142772674561e-01;4.495765566825866699e-01;3.042649030685424805e-01
8.460001000000000104e+00;4.202639758586883545e-01;4.512855708599090576e-01;3.052414655685424805e-01
8.463333999999999691e+00;4.300297498703002930e-01;4.605630636215209961e-01;3.096360862255096436e-01
8.466666999999999277e+00;4.476234018802642822e-01;4.627603590488433838e-01;3.118333816528320312e-01
8.470001999999999143e+00;4.744792878627777100e-01;4.525063037872314453e-01;3.113450706005096436e-01
8.473335000000000505e+00;4.881513714790344238e-01;4.490882754325866699e-01;3.101243674755096436e-01
8.476668000000000092e+00;4.971847236156463623e-01;4.510414302349090576e-01;3.093919157981872559e-01
8.480000999999999678e+00;4.529945850372314453e-01;4.625162184238433838e-01;3.120775222778320312e-01
8.483335000000000292e+00;4.385900795459747314e-01;4.742351472377777100e-01;3.157549500465393066e-01
8.486667999999999878e+00;4.302738904953002930e-01;4.778973162174224854e-01;3.169756531715393066e-01
8.490002000000000493e+00;4.288090467453002930e-01;4.754558503627777100e-01;3.189288079738616943e-01
8.493335000000000079e+00;4.622720777988433838e-01;4.713054001331329346e-01;3.184405267238616943e-01
8.496667999999999665e+00;4.612954854965209961e-01;4.676432311534881592e-01;3.201495409011840820e-01
8.500002000000000280e+00;4.454261064529418945e-01;4.647135138511657715e-01;3.196612596511840820e-01
8.503334999999999866e+00;4.429846704006195068e-01;4.595864713191986084e-01;3.189288079738616943e-01
8.506667000000000201e+00;4.366216659545898438e-01;4.598306119441986084e-01;3.177081048488616943e-01
8.510001000000000815e+00;4.102540612220764160e-01;4.559243023395538330e-01;3.152666389942169189e-01
8.513334999999999653e+00;4.490882754325866699e-01;4.569008946418762207e-01;3.155108094215393066e-01
8.516667999999999239e+00;4.908369481563568115e-01;4.578774571418762207e-01;3.145342171192169189e-01
8.520001000000000602e+00;4.927901029586791992e-01;4.598306119441986084e-01;3.157549500465393066e-01
8.523334999999999440e+00;4.876630902290344238e-01;4.608072042465209961e-01;3.159990906715393066e-01
8.526666999999999774e+00;4.478675425052642822e-01;4.527504444122314453e-01;3.145342171192169189e-01
8.530001000000000388e+00;4.192874133586883545e-01;4.490882754325866699e-01;3.115892410278320312e-01
8.533333999999999975e+00;3.882810771465301514e-01;4.542153179645538330e-01;3.101243674755096436e-01
8.536668000000000589e+00;3.616540729999542236e-01;4.593423306941986084e-01;3.111009299755096436e-01
8.540001000000000175e+00;3.677576780319213867e-01;4.620279371738433838e-01;3.118333816528320312e-01
8.543335000000000790e+00;4.053711891174316406e-01;4.708171188831329346e-01;3.145342171192169189e-01
8.546668000000000376e+00;3.618982136249542236e-01;4.791180193424224854e-01;3.186846673488616943e-01
8.550001999999999214e+00;3.057297766208648682e-01;4.749675691127777100e-01;3.169756531715393066e-01
8.553333999999999548e+00;2.852216362953186035e-01;4.600747823715209961e-01;3.155108094215393066e-01
8.556666999999999135e+00;2.525062859058380127e-01;4.427405297756195068e-01;3.076829314231872559e-01
8.560000000000000497e+00;2.222171425819396973e-01;4.383459091186523438e-01;3.023117482662200928e-01
8.563333999999999335e+00;2.405279576778411865e-01;4.429846704006195068e-01;3.023117482662200928e-01
8.566667999999999950e+00;2.761882841587066650e-01;4.520179927349090576e-01;3.059739172458648682e-01
8.570002000000000564e+00;3.448081314563751221e-01;4.569008946418762207e-01;3.098802268505096436e-01
8.573333999999999122e+00;4.302738904953002930e-01;4.549477398395538330e-01;3.108567893505096436e-01
8.576667000000000485e+00;5.103837847709655762e-01;4.588540494441986084e-01;3.128252029418945312e-01
8.580000999999999323e+00;5.306477546691894531e-01;4.652017951011657715e-01;3.150224983692169189e-01
8.583334000000000685e+00;5.379720926284790039e-01;4.656900763511657715e-01;3.167315125465393066e-01
8.586669000000000551e+00;5.714350938796997070e-01;4.617837667465209961e-01;3.159990906715393066e-01
8.590001000000000886e+00;5.736324191093444824e-01;4.539711475372314453e-01;3.128252029418945312e-01
8.593334000000000472e+00;6.144044995307922363e-01;4.483558535575866699e-01;3.111009299755096436e-01
8.596667999999999310e+00;6.942702531814575195e-01;4.515297114849090576e-01;3.128252029418945312e-01
8.599999999999999645e+00;6.390783786773681641e-01;4.593423306941986084e-01;3.125810623168945312e-01
8.603334999999999511e+00;5.702143907546997070e-01;4.615396261215209961e-01;3.123216629028320312e-01
8.606668000000000873e+00;5.853513479232788086e-01;4.612954854965209961e-01;3.120775222778320312e-01
8.610001000000000460e+00;5.450522899627685547e-01;4.595864713191986084e-01;3.133134841918945312e-01
8.613334999999999297e+00;5.091630220413208008e-01;4.564126133918762207e-01;3.113450706005096436e-01
8.616668999999999912e+00;4.969405531883239746e-01;4.500648379325866699e-01;3.086594939231872559e-01
8.620001999999999498e+00;4.420080780982971191e-01;4.532387256622314453e-01;3.062180578708648682e-01
8.623333999999999833e+00;4.202639758586883545e-01;4.578774571418762207e-01;3.074387609958648682e-01
8.626668000000000447e+00;4.222171306610107422e-01;4.573891758918762207e-01;3.076829314231872559e-01
8.630001000000000033e+00;3.980468511581420898e-01;4.642252326011657715e-01;3.115892410278320312e-01
8.633335000000000647e+00;4.346685111522674561e-01;4.803387522697448730e-01;3.184405267238616943e-01
8.636666999999999206e+00;4.781414568424224854e-01;4.818036258220672607e-01;3.213702738285064697e-01
8.640000999999999820e+00;4.630044996738433838e-01;4.681315422058105469e-01;3.206378221511840820e-01
8.643333999999999406e+00;3.479819893836975098e-01;4.493324160575866699e-01;3.120775222778320312e-01
8.646668999999999272e+00;3.345540463924407959e-01;4.449378252029418945e-01;3.096360862255096436e-01
8.650000000000000355e+00;3.924315273761749268e-01;4.442053735256195068e-01;3.089036345481872559e-01
8.653335000000000221e+00;4.593423306941986084e-01;4.490882754325866699e-01;3.096360862255096436e-01
8.656667999999999807e+00;5.199053883552551270e-01;4.505531489849090576e-01;3.098802268505096436e-01
8.660000000000000142e+00;5.304036140441894531e-01;4.534828662872314453e-01;3.086594939231872559e-01
8.663334000000000756e+00;5.096513032913208008e-01;4.622720777988433838e-01;3.108567893505096436e-01
8.666667999999999594e+00;5.211260914802551270e-01;4.647135138511657715e-01;3.142900764942169189e-01
8.670000999999999181e+00;5.584802031517028809e-01;4.649576544761657715e-01;3.162432312965393066e-01
8.673332999999999515e+00;5.531090497970581055e-01;4.590981900691986084e-01;3.145342171192169189e-01
8.676667999999999381e+00;4.988937079906463623e-01;4.588540494441986084e-01;3.125810623168945312e-01
8.680001000000000744e+00;4.979171454906463623e-01;4.549477398395538330e-01;3.113450706005096436e-01
8.683334999999999582e+00;5.355306267738342285e-01;4.595864713191986084e-01;3.142900764942169189e-01
8.686667999999999168e+00;6.246585845947265625e-01;4.698405563831329346e-01;3.164873719215393066e-01
8.690001000000000531e+00;5.372396707534790039e-01;4.774090051651000977e-01;3.172197937965393066e-01
8.693334000000000117e+00;4.713054001331329346e-01;4.715495407581329346e-01;3.159990906715393066e-01
8.696668000000000731e+00;4.720378518104553223e-01;4.578774571418762207e-01;3.128252029418945312e-01
8.700001000000000317e+00;5.135576128959655762e-01;4.473792612552642822e-01;3.101243674755096436e-01
8.703333999999999904e+00;4.759441614151000977e-01;4.410315155982971191e-01;3.059739172458648682e-01
8.706666999999999490e+00;4.268558919429779053e-01;4.478675425052642822e-01;3.059739172458648682e-01
8.710001000000000104e+00;4.327153563499450684e-01;4.537270069122314453e-01;3.062180578708648682e-01
8.713335000000000719e+00;4.776531755924224854e-01;4.520179927349090576e-01;3.079270720481872559e-01
8.716668000000000305e+00;5.211260914802551270e-01;4.517738521099090576e-01;3.091477751731872559e-01
8.720001999999999143e+00;5.118486285209655762e-01;4.627603590488433838e-01;3.125810623168945312e-01
8.723333999999999477e+00;4.861982166767120361e-01;4.671549499034881592e-01;3.147783577442169189e-01
8.726668000000000092e+00;4.920576810836791992e-01;4.510414302349090576e-01;3.123216629028320312e-01
8.730000999999999678e+00;5.089188814163208008e-01;4.488441348075866699e-01;3.108567893505096436e-01
8.733335000000000292e+00;5.201495289802551270e-01;4.691081047058105469e-01;3.128252029418945312e-01
8.736667999999999878e+00;5.245441198348999023e-01;4.849774837493896484e-01;3.181963860988616943e-01
8.740000999999999465e+00;5.208819508552551270e-01;4.752117097377777100e-01;3.184405267238616943e-01
8.743334000000000827e+00;5.174639225006103516e-01;4.569008946418762207e-01;3.152666389942169189e-01
8.746667999999999665e+00;5.213702321052551270e-01;4.515297114849090576e-01;3.133134841918945312e-01
8.750000999999999252e+00;5.203936696052551270e-01;4.485999941825866699e-01;3.111009299755096436e-01
8.753334999999999866e+00;5.150225162506103516e-01;4.490882754325866699e-01;3.106126487255096436e-01
8.756667000000000201e+00;5.111162066459655762e-01;4.569008946418762207e-01;3.120775222778320312e-01
8.760001000000000815e+00;5.123369097709655762e-01;4.617837667465209961e-01;3.128252029418945312e-01
8.763334000000000401e+00;5.111162066459655762e-01;4.632486402988433838e-01;3.147783577442169189e-01
8.766667999999999239e+00;5.076981782913208008e-01;4.581216275691986084e-01;3.135576546192169189e-01
8.769999999999999574e+00;5.118486285209655762e-01;4.649576544761657715e-01;3.147783577442169189e-01
8.773334999999999440e+00;5.050125718116760254e-01;4.564126133918762207e-01;3.128252029418945312e-01
8.776666999999999774e+00;5.059891939163208008e-01;4.569008946418762207e-01;3.135576546192169189e-01
8.780001999999999640e+00;5.135576128959655762e-01;4.759441614151000977e-01;3.181963860988616943e-01
8.783333999999999975e+00;5.023270249366760254e-01;5.067216157913208008e-01;3.242999911308288574e-01
8.786668000000000589e+00;5.028153061866760254e-01;5.272297263145446777e-01;3.333333432674407959e-01
8.790001000000000175e+00;5.050125718116760254e-01;5.404134988784790039e-01;3.404135107994079590e-01
8.793335000000000790e+00;5.091630220413208008e-01;5.096513032913208008e-01;3.360189199447631836e-01
8.796666999999999348e+00;5.113603472709655762e-01;4.661783874034881592e-01;3.279621601104736328e-01
